"filename", "language", "XML", "C", "C++", "Makefile", "Markdown", "CMake", "Log", "CMakeCache", "JSON", "HTML", "comment", "blank", "total"
"e:\ProgramozasAlapjai\ProgramozasAlapjai\.idea\ProgramozasAlapjai.iml", "XML", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"e:\ProgramozasAlapjai\ProgramozasAlapjai\.idea\misc.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"e:\ProgramozasAlapjai\ProgramozasAlapjai\.idea\modules.xml", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"e:\ProgramozasAlapjai\ProgramozasAlapjai\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"e:\ProgramozasAlapjai\ProgramozasAlapjai\0zh_gyaki\BuiltInSearchAndSort.c", "C", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 27, 15, 71
"e:\ProgramozasAlapjai\ProgramozasAlapjai\0zh_gyaki\CustomTime.c", "C", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29, 90
"e:\ProgramozasAlapjai\ProgramozasAlapjai\0zh_gyaki\Konyvtar.c", "C", 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 15, 75, 248
"e:\ProgramozasAlapjai\ProgramozasAlapjai\0zh_gyaki\Palindrom.c", "C", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19, 59
"e:\ProgramozasAlapjai\ProgramozasAlapjai\0zh_gyaki\Primek.c", "C", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 59
"e:\ProgramozasAlapjai\ProgramozasAlapjai\0zh_gyaki\bkk.c", "C", 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 2, 82, 212
"e:\ProgramozasAlapjai\ProgramozasAlapjai\0zh_gyaki\digit_ora.c", "C", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 7, 51, 170
"e:\ProgramozasAlapjai\ProgramozasAlapjai\0zh_gyaki\leghosszabb.c", "C", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 45
"e:\ProgramozasAlapjai\ProgramozasAlapjai\0zh_gyaki\mintanzh.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 220, 4, 47, 271
"e:\ProgramozasAlapjai\ProgramozasAlapjai\0zh_gyaki\trees.c", "C", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 2, 43, 119
"e:\ProgramozasAlapjai\ProgramozasAlapjai\0zh_hf\main.c", "C", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 7, 70, 181
"e:\ProgramozasAlapjai\ProgramozasAlapjai\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"e:\ProgramozasAlapjai\ProgramozasAlapjai\Gyak02\main.c", "C", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24, 121
"e:\ProgramozasAlapjai\ProgramozasAlapjai\Lab01\main.c", "C", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42, 121
"e:\ProgramozasAlapjai\ProgramozasAlapjai\README.md", "Markdown", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 6, 21
"e:\ProgramozasAlapjai\ProgramozasAlapjai\brainfck\main.c", "C", 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 120
"e:\ProgramozasAlapjai\ProgramozasAlapjai\build\.cmake\api\v1\query\client-vscode\query.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\ProgramozasAlapjai\ProgramozasAlapjai\build\CMakeCache.txt", "CMakeCache", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 8, 60
"e:\ProgramozasAlapjai\ProgramozasAlapjai\cmake-build-debug\.cmake\api\v1\reply\cache-v2-671a44a9a071025fdede.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 1131, 0, 0, 1, 1132
"e:\ProgramozasAlapjai\ProgramozasAlapjai\cmake-build-debug\.cmake\api\v1\reply\cmakeFiles-v1-1a2480f9be0473fe117d.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 1, 117
